name,category,material,shape,x,y,z,w_or_r,d_or_axis,h,cutlist_part,lumber,note
TopLeg_FrontStud_0,frame,stud,box,36.0,34.5,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_FrontStud_1,frame,stud,box,80.5,34.5,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_FrontStud_2,frame,stud,box,108.0,34.5,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_FrontStud_3,frame,stud,box,140.5,34.5,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_BackStud_0,frame,stud,box,36.0,0.0,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_BackStud_1,frame,stud,box,80.5,0.0,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_BackStud_2,frame,stud,box,108.0,0.0,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_BackStud_3,frame,stud,box,140.5,0.0,5.5,3.5,1.5,28.5,"Stud, frame vertical (28.5in)",2x4 SPF,"Vertical 2x4, 28.5in long"
TopLeg_FrontTopRail,frame,rail,box,0,32.5,34.0,144.0,3.5,1.5,"Top rail, top leg front (144in)",2x4 SPF,"Horizontal 2x4, 144.0in long"
TopLeg_FrontBottomRail,frame,rail,box,0,32.5,4.0,144.0,3.5,1.5,"Bottom rail, top leg front (144in)",2x4 SPF,"Horizontal 2x4, 144.0in long"
TopLeg_BackTopRail,frame,rail,box,0,0,34.0,144.0,3.5,1.5,"Top rail, top leg back (144in)",2x4 SPF,"Horizontal 2x4, 144.0in long"
TopLeg_BackBottomRail,frame,rail,box,0,0,4.0,144.0,3.5,1.5,"Bottom rail, top leg back (144in)",2x4 SPF,"Horizontal 2x4, 144.0in long"
TopLeg_TopStretcher_0,frame,stretcher,box,36.0,3.5,34.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_BottomStretcher_0,frame,stretcher,box,36.0,3.5,4.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_TopStretcher_1,frame,stretcher,box,80.5,3.5,34.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_BottomStretcher_1,frame,stretcher,box,80.5,3.5,4.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_TopStretcher_2,frame,stretcher,box,108.0,3.5,34.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_BottomStretcher_2,frame,stretcher,box,108.0,3.5,4.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_TopStretcher_3,frame,stretcher,box,140.5,3.5,34.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_BottomStretcher_3,frame,stretcher,box,140.5,3.5,4.0,3.5,29.0,1.5,"Cross stretcher, top leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
Miter_Recess_BlockingFront,frame,blocking,box,0.0,28.5,31.5,36.0,3.5,1.5,"Blocking, miter recess (36in)",2x4 SPF,"Horizontal 2x4, 36.0in long"
